qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nComplete Answer:",Health,inflammatory and inflammatory diseases,"Some of the most common chronic diseases are : AIDS, diabetes, pancreatic cancer, Parkinson's, heart disease, diabetes, stroke, and other serious diseases.",health,ii.,diseases in general,the social and individual,None,diseases,symptoms
8,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best apps daily activity exercise diabetes\nComplete Answer:",Using exercise diabetes,nQuestion: best apps daily activity exercise diabetes,Health and wellbeing apps,Apple Tablet,ipad,Google & Friends,afn,[ ],&nbsp;,Google AdSense
22,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: my risk for developing type 2 diabetes\nComplete Answer:",I am a medical advisor,...,The risk of Type 2 diabetes is unknown.,My risk for developing type 2 diabetes,Is it necessary for a doctor to provide a diagnosis to prevent the development of type 2 diabetes,Is there any risk for developing type 2 diabetes?,risk of Type 2 diabetes,Is my risk associated with Type 2 diabetes?,The risk for developing type 2 diabetes,irrs
35,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is a ketogenic / keto diet suitable for people with diabetes?\nComplete Answer:",ketogenic / keto diet,ketogenic / keto diet for people with diabetes,It is a ketogenic / keto diet that has high cholesterol and a low cholesterol content.,ketogenic / keto diet,ketogenic / keto diet is the cheapest diet for people with diabetes.,ketogenic / keto diet,ketogenic / keto diet,ketogenic / keto diet is considered to be healthy,ketogenic / keto diet,ketogenic / keto diet is a common drug used to treat diabetes.
45,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can diabetes be cured?\nComplete Answer:",Are diabetes cured?,Yes,Can diabetes be cured?,No,Can diabetes be cured?,Can diabetes be cured?,Can diabetes be cured?,"The most common medical conditions for diabetes are a diabetes coma, and it is generally associated with an increased risk of developing diabetes.",What is the causes of diabetes?,No
51,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What is holistic medicine and what does it include?\nComplete Answer:",the health of the human body,a holistic medicine,Naturopathic medicine,a holistic medicine,a holistic medicine,a holistic care,a comprehensive physician,the general medical definition of holistic medicine,"The human body is an organism that heals, heals, and maintains its wellness.",a holistic approach
52,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nComplete Answer:",How to prevent or manage the most common mental health problems?,"If you do not have a medical knowledge assistant, you should use a reputable health-care provider.",Try to prevent and manage the most common mental health problems?,How to prevent or manage the most common mental health problems?,You are a helpful medical knowledge assistant.,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?,Why are there more mental health problems with your patients?,How can I prevent or manage the most common mental health problems?,How can I prevent or manage the most common mental health problems?
53,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: what is psychotherapy?\nComplete Answer:",Psychotherapy,psychotherapy,Psychiatric therapy,Psychiatric therapy,Psychotherapy,"To help you get to know your health, make a list of the medical and financial requirements.",Psychiatric therapy,Psychotherapy,Psychotherapy,Psychiatric therapy
54,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What does multiple sclerosis diagnosis include? What does it change?\nComplete Answer:",The diagnosis of multiple sclerosis is also referred to as multiple sclerosis.,Multiple sclerosis,Multiple sclerosis,a diagnosis of multiple sclerosis,Symptoms,Multiple sclerosis,None,Multiple sclerosis,Multiple sclerosis diagnosis,multiple sclerosis
55,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How to manage multiple sclerosis?\nComplete Answer:",You are a helpful medical knowledge assistant.,Read on to see if there is any other problem with multiple sclerosis.,Get a medical knowledge assistant,"In a regular daily dose, eat 1 to 2 cups of water per day and use 8 cups of the recommended daily dose.",Learn to recognize your symptoms and prevent them with a daily regimen.,Do this by referring to your own health as the same as your own.,Choose the best treatment for multiple sclerosis.,"Try to get in contact with an underlying disease, as it may be more difficult for you to feel better.",Have a physician diagnose the multiple sclerosis disorder and determine whether there is an imbalance between the symptoms and the causes.,Read about the symptoms of multiple sclerosis.
57,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: multiple sclerosis stages phases\nComplete Answer:",Multiple sclerosis stages phases,Multiple sclerosis,[1],Multiple sclerosis stage stages,nQuestion: Multiple sclerosis stages phases,Multiple sclerosis stages phases,Multiple sclerosis stages phases,nSclerosis stages phases,Multiple sclerosis stages phases,nQuestion: Multiple Sclerosis stages phases
